cell_id,cohort,status,reason,n_discharges,n_full,n_rows_raw,usable_fraction,capability_ah,cutoff_v,rest_threshold_a,elapsed_s
CS2_21,CS2_Type1,load_failed,"ValueError: load_calce_archive: every member of CS2_21.zip failed to parse: CS2_21_1_19_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_21_1_26_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_21_1_27_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_21_1_28_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_21_1_29_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.)",0,0,,,,,,
CS2_24,CS2_Type6,ok,,5039,36,867098.0,0.0071442746576701,1.1008385425282026,2.699855327606201,0.0337476253509521,211.6116087436676
CS2_25,CS2_Type6,ok,,6790,45,1221288.0,0.0066273932253313,1.1032378691589817,2.699426651000977,0.0275150209665298,356.2340269088745
CS2_3,CS2_Type3,ok,,1124,367,1290615.0,0.3265124555160142,1.1099170586666065,2.6968679428100586,0.0825123131275177,325.5875771045685
CS2_33,CS2_Type1,ok,,866,502,324534.0,0.5796766743648961,1.142982340078768,2.6993746757507324,0.042496880084276,82.18172287940979
CS2_34,CS2_Type1,ok,,775,492,312131.0,0.6348387096774194,1.137583198971796,2.699465751647949,0.0327011287212372,79.30390763282776
CS2_35,CS2_Type2,ok,,932,579,266914.0,0.621244635193133,1.0965740547204572,2.699296236038208,0.0549964845180511,67.32155323028564
CS2_36,CS2_Type2,ok,,973,519,269656.0,0.5334018499486125,1.1130534020744132,2.699369430541992,0.0550036191940307,70.2211012840271
CS2_37,CS2_Type2,ok,,1038,599,290998.0,0.5770712909441233,1.0965790153178103,2.699224710464477,0.0549987018108368,74.58222961425781
CS2_38,CS2_Type2,ok,,1078,628,303295.0,0.5825602968460112,1.1025269311628465,2.699337720870972,0.0549857974052429,78.0859797000885
CS2_5,CS2_Type5,ok,,7077,73,1273371.0,0.0103151052705948,1.0546453267170235,2.694408893585205,0.0275266528129577,313.44290494918823
CS2_6,CS2_Type5,ok,,6307,66,1040466.0,0.010464563183764,0.7474386118207557,2.6944470405578613,0.0286410510540008,250.59141159057617
CS2_7,CS2_Type4,ok,,1121,77,146559.0,0.0686886708296164,1.1189942993651285,2.6995832920074463,0.0275265246629714,37.14215922355652
CS2_8,CS2_Type1,load_failed,"ValueError: load_calce_archive: every member of CS2_8.zip failed to parse: CS2_8_1_19_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_8_1_20_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_8_1_26_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_8_1_27_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CS2_8_1_28_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.)",0,0,,,,,,
CS2_9,CS2_Type3,ok,,845,332,935376.0,0.3928994082840236,1.1581153094808796,2.6976847648620605,0.0824961364269256,223.0759425163269
CX2_16,CX2_Type1,ok,,2008,1160,820996.0,0.5776892430278885,1.2668020012537562,2.6996177434921265,0.0527568459510803,210.18595123291016
CX2_3,CX2_Type4,ok,,6821,836,2392133.0,0.1225626740947075,1.3650027744755635,2.699052572250366,0.0675044775009155,579.3063359260559
CX2_31,CX2_Type1,load_failed,"ValueError: load_calce_archive: every member of CX2_31.zip failed to parse: CX2_31_1_19_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CX2_31_1_26_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CX2_31_1_27_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CX2_31_1_28_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.); CX2_31_1_29_10.txt (ValueError: CADEX tester export, not Arbin — columns include ['Pgm cycle', 'mA', 'mV']. Units are mV/mA and the capacity column's units are unstated, so mapping it through the Arbin aliases yields a capacity wrong by ~1000x. Refused until the schema is confirmed against the cycler documentation.)",0,0,,,,,,
