battery_id,initial_capacity_ah,fade_rate_ah_per_cycle,fade_fit_r2,n_cycles_measured,cycles_to_eol,reached_eol_in_data
B0005,1.8460546215871638,0.0038666144884018662,0.9756281929050115,168,102.0,True
B0006,2.024601402794158,0.005086615069899097,0.963696955769038,168,61.0,True
B0007,1.8841173315929292,0.003269481077145986,0.9763119207084012,168,125.0,True
B0018,1.8459339649785411,0.003926143770029231,0.9400699809404715,132,77.0,True
B0025,1.8475625915319098,0.00254168866039867,0.8798135774952295,28,,False
B0026,1.813920618883673,-0.0003811443017099886,0.001464292722067394,28,6.0,True
B0027,1.8168019728816065,0.0010989556462126346,0.4894601530463927,28,,False
B0028,1.8023622538950397,0.002648102785836822,0.8874908682811519,28,,False
B0029,1.7892154022130766,0.0050953268936741545,0.8648234288018537,40,,False
B0030,1.73319823746379,0.0048874061845471045,0.8790441257650208,40,,False
B0031,1.7711723525004694,0.00316849334511359,0.6754362999952911,40,,False
B0032,1.8245549030771269,0.005336497197504329,0.8269283271707437,40,,False
B0033,0.6396934808078082,0.0017868467531202707,0.1288844223402725,197,1.0,True
B0034,1.3511131269145613,0.0010600239917543744,0.34182738557109005,197,1.0,True
B0036,1.535835443468762,0.0009280849059928786,0.2967425405568459,197,1.0,True
B0038,1.029753730702141,-0.016132328975918032,0.4702688331270088,47,,False
B0039,0.2516108023260631,-0.029053209404479828,0.46015699657353987,47,1.0,True
B0040,0.7504504759152574,-0.016274431827401445,0.2292072634453859,47,46.0,True
B0041,0.0557189108907749,-0.01825805142832057,0.6387429176593461,67,6.0,True
B0042,1.7294727759584863,0.007133133391351461,0.09645023013331294,111,42.0,True
B0043,1.6969471483989302,0.0065131505552640185,0.0843460949098969,111,42.0,True
B0044,1.6674624279620147,0.006424668462913053,0.08716262709357042,111,42.0,True
B0045,0.9650418004126003,0.0035558429180315852,0.7740116714088228,70,13.0,True
B0046,1.5825030899520387,0.005429969022534584,0.8163122550835533,69,31.0,True
B0047,1.5689157507349218,0.005019738396645037,0.7355594565597585,69,26.0,True
B0048,1.5548704204461472,0.003922260633658592,0.6774610757079547,69,32.0,True
B0049,1.217376856615905,0.031037769216703155,0.3973400155645866,24,1.0,True
B0050,1.37119031531671,0.062267884944179376,0.30240943799242326,20,1.0,True
B0051,1.0551826826444242,0.025000659120044174,0.2912025676037098,24,1.0,True
B0053,1.124455707815117,0.0014144983870165813,0.30711390400593264,55,,False
B0054,1.0039104244704655,0.0020143517753248895,0.673287201171185,102,1.0,True
B0055,1.131958409759927,0.0016284992981380447,0.47129725943514633,102,1.0,True
B0056,1.1490454623050026,0.0009988218964676154,0.19890605205551457,102,1.0,True
