cell_id,cycle,capacity_ah,mean_voltage_v,min_voltage_v,mean_current_a,min_current_a,resistance_ohm,cycle_duration_s,n_samples,arbin_cycle_index,dataset,cohort
CS2_24,1,1.1084587136855386,3.781783183415731,2.699693441390991,-0.2696160637971126,-0.2699567675590515,0.0,14800.471536654535,495,1.0,calce,CS2_Type6
CS2_24,2,1.0749293992246287,3.7762374838193256,2.699855327606201,-0.2696933436517914,-0.2699567675590515,0.0,14348.696226052443,480,35.0,calce,CS2_Type6
CS2_24,3,1.0526280197282545,3.7891712710261354,2.699855327606201,-0.2197112042405125,-0.2201097905635833,0.0,17247.46952412033,576,135.0,calce,CS2_Type6
CS2_24,4,1.0281477952673743,3.783733567378449,2.699855327606201,-0.2196625779460632,-0.2199278622865677,0.0,16850.09854306234,563,235.0,calce,CS2_Type6
CS2_24,5,1.0317876254759386,3.802499016618307,2.699855327606201,-0.2196583652127105,-0.2199278622865677,0.0,16910.05613716296,565,335.0,calce,CS2_Type6
CS2_24,6,0.9996196200734884,3.797721198533527,2.699855327606201,-0.2196737752862996,-0.2199278622865677,0.0,16381.727723959832,547,435.0,calce,CS2_Type6
CS2_24,7,1.0122938277126443,3.8018273244265615,2.699855327606201,-0.2196451326031977,-0.2199278622865677,0.0,16591.587704848032,554,465.0,calce,CS2_Type6
CS2_24,8,0.9924143016976872,3.8000465049708527,2.699855327606201,-0.2196980360792486,-0.2201097905635833,0.0,16261.840270411223,543,565.0,calce,CS2_Type6
CS2_24,9,0.9826724901149038,3.798434698005591,2.699855327606201,-0.2196350331975625,-0.2199278622865677,0.0,16106.819276500491,538,665.0,calce,CS2_Type6
CS2_24,10,0.9767754650218312,3.7977684992496097,2.699855327606201,-0.2196201290482672,-0.2199278622865677,0.0,16011.232989166863,535,765.0,calce,CS2_Type6
CS2_24,11,0.9938149373593324,3.795095485799453,2.699855327606201,-0.2196503023014349,-0.2204736322164535,0.0,16288.330386661924,544,865.0,calce,CS2_Type6
CS2_24,12,0.981986615431344,3.790895750974634,2.699855327606201,-0.2196759497089013,-0.2199278622865677,0.0,16092.593245765194,538,965.0,calce,CS2_Type6
CS2_24,13,0.9664274152639488,3.7878086715654975,2.699855327606201,-0.2196634098014218,-0.2201097905635833,0.0,15838.497500933709,529,1065.0,calce,CS2_Type6
CS2_24,14,0.9570838652314796,3.798038439441273,2.699855327606201,-0.2196667884540467,-0.2201097905635833,0.0,15685.144391275013,524,1165.0,calce,CS2_Type6
CS2_24,15,0.9510287053387642,3.794747740659513,2.699855327606201,-0.2196757608663555,-0.2199278622865677,0.0,15585.28690653015,521,1265.0,calce,CS2_Type6
CS2_24,16,0.943027356540174,3.7893419834070423,2.699855327606201,-0.2196997601336749,-0.2199278622865677,0.0,15452.454714177176,516,1365.0,calce,CS2_Type6
CS2_24,17,0.9274805798236028,3.786388527220629,2.699855327606201,-0.2197781761624212,-0.2201097905635833,0.0,15192.289894793184,508,1465.0,calce,CS2_Type6
CS2_24,18,0.9257009547813672,3.789460610590978,2.699855327606201,-0.2196723872564248,-0.2199278622865677,0.0,15170.408688897269,507,1565.0,calce,CS2_Type6
CS2_24,19,0.9101932588598444,3.7788084515606064,2.699855327606201,-0.2197576357897027,-0.2201097905635833,0.0,14910.492873243988,498,1665.0,calce,CS2_Type6
CS2_24,20,0.9154844132645272,3.786100762570928,2.699855327606201,-0.2197840732193278,-0.2201097905635833,0.0,14995.371885947883,501,1765.0,calce,CS2_Type6
CS2_24,21,0.9183210259712888,3.79283510761754,2.699855327606201,-0.219697481536012,-0.2201097905635833,0.0,15047.77426545322,503,1865.0,calce,CS2_Type6
CS2_24,22,0.9431335615431944,3.796752229217411,2.699855327606201,-0.2196955295034157,-0.2199278622865677,0.0,15454.49055108428,516,1965.0,calce,CS2_Type6
CS2_24,23,0.9466457456535377,3.788182621757036,2.699855327606201,-0.2199032813828424,-0.220291718840599,0.0,15497.38154245913,518,2065.0,calce,CS2_Type6
CS2_24,24,0.9331603106387418,3.786546241047331,2.699855327606201,-0.2197747828034272,-0.2201097905635833,0.0,15285.537176987156,511,2165.0,calce,CS2_Type6
CS2_24,25,0.9234113329015684,3.785301992680767,2.699855327606201,-0.219791695918187,-0.2201097905635833,0.0,15124.7082729768,505,2265.0,calce,CS2_Type6
CS2_24,26,0.91462432161965,3.786288282352532,2.699855327606201,-0.2197317844795847,-0.2201097905635833,0.0,14984.852162044495,501,2365.0,calce,CS2_Type6
CS2_24,27,0.9310102458341089,3.7913127160539815,2.699855327606201,-0.2196927960889012,-0.2199278622865677,0.0,15256.019912563264,510,2465.0,calce,CS2_Type6
